Speaker 1:          00:00:03       And doing it again, I can.
Speaker 8:          02:52:42       Wash that say, this is so fucking funny. We were watching this. This is. This is. This is. This is the president's debate, and they they, they redubbed their voices because they walked their mouths and they could be saying something else. Watch this. This is so wild on. This is the one.

Speaker 6:          02:53:01       No, the hot tub. It's cool now poisoning. I know, right? I know.

Speaker 11:         02:53:07       Sing me some harmonies. It's a small picture in a shop somewhere and I know who it is. It's Mormon, judy and cow people. Little pitchy but good stuff. Governor Romney's black. I think black can be judged. How do I do this? Dude? I don't have a jet ski. Not the kind you're talking about. Plus everyone can see that I'm not black. You have to enjoy the civic stuff. These guys to laugh at this. I mean, I do want you to support me and be my man. That's beautiful. I know he's black. Ahmed, how did you know about who done it in the lounge? Didn't know.

Speaker 6:          02:53:50       Well, you didn't study clapping for the mad cow until someone sold him. Who is that creepy old debates? Boy Stuff.

Speaker 11:         02:54:02       That dude's the sickest. We hate him because he had eggs for a bath. I'm gonna throw up tonight,

Speaker 6:          02:54:09       but if you throw up and it's as a jealous on that, you have to see this stupid.

Speaker 11:         02:54:19       Governor Romney won't do that. Okay. Audio is not doing. This. Just got me thinking. I see a purple idiot speaks German with a big spunky Irish labradoodle puppy. Oh, he got me and I want you to feel bad because I've got funny radiation coming up. I'm like, come on, I'm not a robot. Okay. I wish I could go higher and you could rotate my arm and send me wishing into space. Hear me on that

Speaker 6:          02:54:45       shot is so fucking cool. Right off. 17. Stupid. You got to see it firsthand. When is it over folks? Who the fuck is the price? This is election day. Two thousand 12. Ladies and gentlemen. Vote a month before the apocalypse. Right now.

Speaker 8:          02:55:01       Whoa. You Ready? This what? I'm

Speaker 3:          02:55:04       Mitt Romney's in the lead right now. He has 152 electoral votes to 23 for Obama. Obama has a 48 percent and he has 50 percent. Wow. Wow. If this guy wins, this is going to be really strange. I'm more concerned about the condom Moore's law. The common law for a porn stars now. Well, we're just going to have to buy or download our porn from like Russia. Yeah, sharing. That's just what it is, man. Snow. Well, there's no way. People were just going to watch people fuck with condoms on. They tried that for awhile. Remember that didn't work. You ever, you ever clip, clicked on a link and you see like a condom and you get upset. You watched porn and the guys were in a car I can't beat on the podcast is overlays to gentlemen. Go fuck yourselves, but do it. Do it kindly and gently.
